timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
2039920000,32767,32767,32767,32767,32767,32767,32767
2039924000,32767,32767,32767,32767,-40,32767,32767
2039928000,32767,32767,32767,32767,32767,32767,32767
2039932000,32767,32767,32767,32767,32767,32767,32767
2039936000,32767,32767,32767,32767,32767,32767,32767
2039940000,32767,32767,32767,32767,32767,32767,32767
2039944000,32767,32767,32767,32767,32767,32767,32767
2039948000,32767,32767,32767,32767,32767,32767,32767
2039952000,32767,32767,32767,32767,32767,32767,32767
2039956000,32767,32767,32767,32767,32767,32767,32767
2039960000,32767,32767,32767,32767,32767,32767,32767
2039964000,32767,32767,32767,32767,32767,32767,32767
2039968000,32767,32767,32767,32767,32767,-40,32767
2039972000,32767,32767,32767,32767,32767,32767,32767
2039976000,32767,32767,32767,32767,32767,32767,32767
2039980000,32767,32767,32767,32767,32767,32767,32767
2039984000,32767,32767,32767,32767,32767,32767,32767
2039988000,32767,32767,32767,32767,32767,32767,32767
2039992000,32767,32767,32767,32767,-40,32767,32767
2039996000,32767,32767,32767,32767,32767,32767,32767
2040000000,32767,32767,32767,32767,32767,32767,32767
2040004000,32767,32767,32767,32767,32767,32767,32767
2040008000,32767,32767,32767,32767,32767,32767,32767
2040012000,32767,32767,32767,32767,32767,32767,32767
2040016000,32767,32767,32767,32767,32767,32767,32767
2040020000,32767,32767,32767,32767,32767,-40,32767
2040024000,32767,32767,32767,32767,32767,32767,32767
2040028000,32767,32767,32767,32767,32767,32767,32767
2040032000,32767,32767,32767,32767,32767,32767,32767
2040036000,32767,32767,32767,32767,32767,32767,32767
2040040000,32767,32767,32767,32767,32767,32767,32767
2040044000,32767,32767,32767,32767,-40,32767,32767
2040048000,32767,32767,32767,32767,32767,32767,32767
2040052000,32767,32767,32767,32767,32767,32767,32767
2040056000,32767,32767,32767,32767,32767,32767,32767
2040060000,32767,32767,32767,32767,32767,32767,32767
2040064000,32767,32767,32767,32767,32767,32767,32767
2040068000,32767,32767,32767,32767,32767,32767,32767
2040072000,32767,32767,32767,32767,32767,32767,32767
2040076000,32767,32767,32767,32767,32767,32767,32767
2040080000,32767,32767,32767,32767,32767,32767,32767
2040084000,32767,32767,32767,32767,32767,32767,32767
2040088000,32767,32767,32767,32767,32767,32767,32767
2040092000,32767,32767,32767,32767,32767,32767,32767
2040096000,32767,32767,32767,32767,32767,32767,32767
2040100000,32767,32767,32767,32767,32767,32767,32767
2040104000,32767,32767,32767,32767,32767,32767,32767
2040108000,32767,32767,32767,32767,32767,32767,32767
2040112000,32767,32767,32767,32767,32767,32767,32767
2040116000,32767,32767,32767,32767,-40,-40,32767
2040120000,32767,32767,32767,32767,32767,32767,32767
2040124000,32767,32767,32767,32767,32767,32767,32767
2040128000,32767,32767,32767,32767,32767,32767,32767
2040132000,32767,32767,32767,32767,32767,32767,32767
2040136000,32767,32767,32767,32767,32767,32767,32767
2040140000,32767,32767,32767,32767,32767,32767,32767
2040144000,32767,32767,32767,32767,32767,32767,32767
2040148000,32767,32767,32767,32767,32767,32767,32767
2040152000,32767,32767,32767,32767,32767,32767,32767
2040156000,32767,32767,32767,32767,32767,32767,32767
2040160000,32767,32767,32767,32767,32767,0,32767
2040164000,32767,32767,32767,32767,32767,32767,32767
2040168000,32767,32767,32767,32767,32767,32767,32767
2040172000,32767,32767,32767,32767,32767,32767,32767
2040176000,32767,32767,32767,32767,32767,32767,32767
2040180000,32767,32767,32767,32767,32767,32767,32767
2040184000,32767,32767,32767,32767,0,32767,32767
2040188000,32767,32767,32767,32767,32767,32767,32767
2040192000,32767,32767,32767,32767,32767,32767,32767
2040196000,32767,32767,32767,32767,32767,32767,32767
2040200000,32767,32767,32767,32767,32767,32767,32767
2040204000,32767,32767,32767,32767,32767,32767,32767
2040208000,32767,32767,32767,32767,32767,32767,32767
2040212000,32767,32767,32767,32767,32767,32767,32767
2040216000,32767,32767,32767,32767,32767,32767,32767
2040220000,32767,32767,32767,32767,32767,32767,32767
2040224000,32767,32767,32767,32767,32767,32767,32767
2040228000,32767,32767,32767,32767,32767,32767,32767
2040232000,32767,32767,32767,32767,32767,32767,32767
2040236000,32767,32767,32767,32767,32767,32767,32767
2040240000,32767,32767,32767,32767,32767,32767,32767
2040244000,32767,32767,32767,32767,32767,32767,32767
2040248000,32767,32767,32767,32767,32767,32767,32767
2040252000,32767,32767,32767,32767,32767,32767,32767
2040256000,32767,32767,32767,32767,32767,32767,32767
2040260000,32767,32767,32767,32767,-40,-40,32767
2040264000,32767,32767,32767,32767,32767,32767,32767
2040268000,32767,32767,32767,32767,32767,32767,32767
2040272000,32767,32767,32767,32767,32767,32767,32767
2040276000,32767,32767,32767,32767,32767,32767,32767
2040280000,32767,32767,32767,32767,32767,32767,32767
2040284000,32767,32767,32767,32767,32767,32767,32767
2040288000,32767,32767,32767,32767,32767,32767,32767
2040292000,32767,32767,32767,32767,32767,32767,32767
2040296000,32767,32767,32767,32767,32767,32767,32767
2040300000,32767,32767,32767,32767,32767,32767,32767
2040304000,32767,32767,32767,32767,32767,0,32767
2040308000,32767,32767,32767,32767,32767,32767,32767
2040312000,32767,32767,32767,32767,32767,32767,32767
2040316000,32767,32767,32767,32767,32767,32767,32767
2040320000,32767,32767,32767,32767,32767,32767,32767
2040324000,32767,32767,32767,32767,32767,32767,32767
2040328000,32767,32767,32767,32767,0,32767,32767
2040332000,32767,32767,32767,32767,32767,32767,32767
2040336000,32767,32767,32767,32767,32767,32767,32767
2040340000,32767,32767,32767,32767,32767,32767,32767
2040344000,32767,32767,32767,32767,32767,32767,32767
2040348000,32767,32767,32767,32767,32767,32767,32767
2040352000,32767,32767,32767,32767,32767,32767,32767
2040356000,32767,32767,32767,32767,32767,32767,32767
2040360000,32767,32767,32767,32767,32767,32767,32767
2040364000,32767,32767,32767,32767,32767,32767,32767
2040368000,32767,32767,32767,32767,32767,32767,32767
2040372000,32767,32767,32767,32767,32767,32767,32767
2040376000,32767,32767,32767,32767,32767,32767,32767
2040380000,32767,32767,32767,32767,32767,32767,32767
2040384000,32767,32767,32767,32767,32767,32767,32767
