timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
2037220000,2037220000,0.7000658,0.7285788,0.70259595,0.7235573,nan,nan,nan,nan,nan,nan,nan,nan,0
2037320000,2037320000,0.69919574,0.72504455,0.6988655,0.72577906,nan,nan,nan,nan,nan,nan,nan,nan,0
2037420000,2037420000,0.70004165,0.7249245,0.7020064,0.72453344,nan,nan,nan,nan,nan,nan,nan,nan,0
2037520000,2037520000,0.6996431,0.7249736,0.69845885,0.72952574,nan,nan,nan,nan,nan,nan,nan,nan,0
2037620000,2037620000,0.709644,0.71721005,0.701135,0.725873,nan,nan,nan,nan,nan,nan,nan,nan,0
2037720000,2037720000,0.7023818,0.7265926,0.7014365,0.7241299,nan,nan,nan,nan,nan,nan,nan,nan,0
2037820000,2037820000,0.6982219,0.72928876,0.69886094,0.7264321,nan,nan,nan,nan,nan,nan,nan,nan,0
2037920000,2037920000,0.6968293,0.72968346,0.70285684,0.72549284,nan,nan,nan,nan,nan,nan,nan,nan,0
2038020000,2038020000,0.70075035,0.7264493,0.70374024,0.72735006,nan,nan,nan,nan,nan,nan,nan,nan,0
2038120000,2038120000,0.6982869,0.7279725,0.70422477,0.72491115,nan,nan,nan,nan,nan,nan,nan,nan,0
2038220000,2038220000,0.7025033,0.7283923,0.7009794,0.72853374,nan,nan,nan,nan,nan,nan,nan,nan,0
2038320000,2038320000,0.70506245,0.7270503,0.700067,0.72879696,nan,nan,nan,nan,nan,nan,nan,nan,0
2038420000,2038420000,0.7027057,0.7274469,0.7020027,0.72650206,nan,nan,nan,nan,nan,nan,nan,nan,0
